電影ID,電影中文名,英譯,上映日期,片長,發行公司,IMDb分數,導演,演員,電影類型,分級
28,小鬼大間諜,Spy Kids,上映日期：2001-06-15,片　　長：01時30分,發行公司：年代影視,沒有評分,['羅勃羅里葛茲(Robert Rodriguez)'],"['安東尼奧班德拉斯(Antonio Banderas)', '艾倫康明(Alan Cumming)', '艾莉莎維格(Alexa Vega)', '凱拉古吉諾(Carla Gugino)', '達洛薩巴拉(Daryl Sabara)', '勞勃派屈克(Robert Patrick)']","['動作', '冒險', '喜劇', '溫馨/家庭']",普遍級/G
29,美國甜心,America's Sweethearts,上映日期：2001-09-29,片　　長：01時41分,發行公司：博偉電影,沒有評分,['喬羅斯(Joe Roth)'],"['茱莉亞羅勃茲(Julia Roberts)', '凱薩琳麗塔瓊絲(Catherine Zeta-Jones)', '約翰庫薩克(John Cusack)', '比利克里斯多(Billy Crystal)']","['喜劇', '愛情']",普遍級/G
30,劍魚,Swordfish,上映日期：2001-09-21,片　　長：01時39分,發行公司：華納,沒有評分,['唐米尼西納(Dominic Sena)'],"['休傑克曼(Hugh Jackman)', '約翰屈伏塔(John Travolta)', '荷莉貝瑞(Halle Berry)']","['動作', '犯罪', '懸疑/驚悚']",輔12級/PG12
31,天蛾人,The Mothman Prophecies,上映日期：2002-04-12,片　　長：01時59分,發行公司：春暉影業,沒有評分,['馬克培林頓(Mark Pellingyon)'],"['李察基爾(Richard Gere)', '蘿拉琳妮(Laura Linney)', '威爾培頓(Will Patton)']","['科幻', '奇幻', '劇情', '懸疑/驚悚']",保護級/P
32,梅爾吉勃遜-勇士們,We Were Soldiers,上映日期：2002-03-22,片　　長：02時17分,發行公司：邁拓娛樂,沒有評分,['藍道華勒斯(Randall Wallace)'],"['克里斯克萊(Chris Klein)', '梅爾吉勃遜(Mel Gibson)', '巴瑞派伯(Barry Pepper)', '奎格金尼爾 (Greg Kinnear)']","['動作', '劇情', '戰爭', '歷史/傳記']",限制級/R
33,K星異客,K-Pax,上映日期：2002-03-30,片　　長：01時58分,發行公司：UIP,沒有評分,['伊恩索佛利(Iain Softley)'],"['凱文史貝西(Kevin Spacey)', '傑夫布里吉(Jeff Bridges)', '艾芙爾伍德(Alfre Woodard)', '瑪麗麥柯瑪克(Mary McCormack)']","['科幻', '奇幻', '劇情', '懸疑/驚悚']",保護級/P
34,意外邊緣,In The Bedroom,上映日期：2002-03-16,片　　長：02時10分,發行公司：春暉影業,沒有評分,['陶德菲爾德(Todd Field)'],"['梅莉莎托梅(Marisa Tomei)', '湯姆衛金森(Tom Wilkinson)', '尼克史塔(Nick Stahl)', '西西史派克(Sissy Spacek)', '威廉麥波瑟(William Mapother)']","['劇情', '懸疑/驚悚']",限制級/R
35,忘了我是誰,The Majestic,上映日期：2002-03-16,片　　長：02時29分,發行公司：華納,沒有評分,['法蘭克德拉邦(Frank Darabont)'],"['金凱瑞(Jim Carrey)', '洛莉荷登(Laurie Holden)', '馬丁蘭道(Martin Landau)']","['奇幻', '愛情']",保護級/P
36,開膛手,From Hell,上映日期：2002-03-08,片　　長：02時17分,發行公司：福斯電影,沒有評分,"['亞伯休斯(Albert Hughes)', '艾倫休斯(Allen Hughes)']","['強尼戴普(Johnny Depp)', '海瑟葛拉罕(Heather Graham)', '伊恩何姆(Ian Holm)', '羅比寇特蘭(Robbie Coltrane)']","['犯罪', '恐怖', '懸疑/驚悚']",限制級/R
37,真情快遞,The Shipping News,上映日期：2002-03-16,片　　長：02時04分,發行公司：年代影視,沒有評分,['萊斯霍斯壯(Lasse Hallström)'],"['凱文史貝西(Kevin Spacey)', '凱特布蘭琪(Cate Blanchett)', '茱蒂丹契(Judi Dench)', '茱莉安摩爾(Julianne Moore)']","['劇情', '愛情']",輔12級/PG12
38,間接傷害,Collateral Damage,上映日期：2002-03-02,片　　長：01時49分,發行公司：華納,沒有評分,['安德魯戴維斯(Andrew Davis)'],"['阿諾史瓦辛格(Arnold Schwarzenegger)', '法蘭茜絲卡內莉(Francesca Neri)', '克里夫柯提斯(Cliff Curtis)', '艾理斯寇迪(Elias Koteas)']","['動作', '懸疑/驚悚']",輔12級/PG12
39,美麗境界,A Beautiful Mind,上映日期：2002-03-09,片　　長：02時15分,發行公司：UIP,沒有評分,['朗霍華(Ron Howard)'],"['保羅貝特尼(Paul Bettany)', '羅素克洛(Russell Crowe)', '珍妮佛康納莉(Jennifer Connelly)', '艾德哈里斯(Ed Harris)', '克里斯多夫柏麥(Christopher Plummer)', '賈德赫西(Judd Hirsch)']","['劇情', '懸疑/驚悚', '歷史/傳記']",保護級/P
40,黑鷹計畫,Black Hawk Down,上映日期：2002-02-23,片　　長：02時24分,發行公司：博偉電影,沒有評分,['雷利史考特(Ridley Scott)'],"['喬許哈奈特(Josh Hartnett)', '湯姆賽斯摩(Tom Sizemore)']","['動作', '劇情', '戰爭', '歷史/傳記']",輔12級/PG12
41,強殖入侵,Imposter,上映日期：2002-02-22,片　　長：01時36分,發行公司：年代影視,沒有評分,['蓋瑞弗萊德(Gary Fleder)'],"['夏儂索莎蒙(Shannyn Sossamon)', '蓋瑞辛尼茲(Gary Sinise)', '麥德琳史道威(Madeleine Stowe)', '梅基菲佛(Mekhi Phifer)', ""文森唐諾費李歐(Vincent D'Onofrio)""]","['動作', '科幻', '懸疑/驚悚']",輔12級/PG12
42,情人眼裡出西施,Shallow Hal,上映日期：2002-02-22,片　　長：01時54分,發行公司：福斯電影,沒有評分,"['彼得法拉利(Peter Farrelly)', '巴伯法拉利(Bobby Farrelly)']","['傑克布萊克(Jack Black)', '葛妮絲派特羅(Gwyneth Paltrow)', '傑森亞歷山大(Jason Alexander)']","['劇情', '喜劇', '愛情']",保護級/P
43,瞞天過海,Ocean's Eleven,上映日期：2002-02-09,片　　長：01時57分,發行公司：華納,沒有評分,['史蒂芬索德柏(Steven Soderbergh)'],"['茱莉亞羅勃茲(Julia Roberts)', '喬治克隆尼(George Clooney)', '麥特戴蒙(Matt Damon)', '布萊德彼特(Brad Pitt)', '安迪賈西亞(Andy Garcia)', '唐其鐸 (Don Cheadle)']","['動作', '犯罪', '喜劇']",保護級/P
44,穿越時空愛上你,Kate & Leopold,上映日期：2002-02-08,片　　長：02時11分,發行公司：邁拓娛樂,沒有評分,['詹姆士曼格(James Mangold)'],"['休傑克曼(Hugh Jackman)', '梅格萊恩(Meg Ryan)', '詹姆士曼格(James Mangold)']","['奇幻', '喜劇', '愛情']",普遍級/G
45,極速追殺令,Wasabi,上映日期：2002-02-09,片　　長：01時34分,發行公司：春暉影業,沒有評分,['盧貝松(Luc Besson)'],"['尚雷諾(Jean Reno)', '卡洛波桂(Carole Bouquet)', '廣末涼子(Ryoko Hirosue)', '米榭穆勒(Michel Muller)']","['動作', '劇情', '犯罪', '喜劇']",保護級/P
46,勿忘我,Hearts In Atlantis,上映日期：2002-02-16,片　　長：01時41分,發行公司：華納,沒有評分,['史考特希克(Scott Hicks)'],"['安東尼霍普金斯(Anthony Hopkins)', '安東葉爾欽(Anton Yelchin)', '大衛摩斯(David Morse)', '蜜卡布倫(Mika Boorem)', '威爾羅斯哈(Will Rothhaar)']","['劇情', '懸疑/驚悚']",普遍級/G
47,終極土匪,Bandits,上映日期：2002-01-25,片　　長：02時03分,發行公司：福斯電影,沒有評分,['巴瑞李文森(Barry Levinson)'],"['凱特布蘭琪(Cate Blanchett)', '布魯斯威利(Bruce Willis)', '比利鮑伯松頓(Billy Bob Thornton)', '崔伊加利提(Troy Garity)']","['動作', '劇情', '喜劇', '愛情']",保護級/P
48,魔戒首部曲,The Lord of the Rings:The Fellowship of the Ring,上映日期：2002-01-18,片　　長：02時58分,發行公司：邁拓娛樂,沒有評分,[''],[''],"['動作', '冒險', '奇幻']",保護級/P
50,飆風特警,Texas Rangers,上映日期：2002-01-15,片　　長：01時33分,發行公司：年代影視,沒有評分,['史帝夫麥納(Steve Miner)'],"['艾希頓庫奇(Ashton Kutcher)', '狄倫麥德蒙(Dylan McDermott)', '詹姆斯范德畢(James Van der Beek)', '蕾奧娜華莉拉(Leonor Varela)', '瑞秋李庫克(Rachael Leigh Cook)']","['冒險', '劇情']",輔12級/PG12
52,千方百計,O,上映日期：2002-01-11,片　　長：01時31分,發行公司：年代影視,沒有評分,['【關鍵報告】提姆布萊克尼爾森 (Tim Blake Nelson)'],"['喬許哈奈特(Josh Hartnett)', '茱莉亞史黛爾(Julia Stiles)', '梅基菲佛(Mekhi Phifer)', '安德魯基根(Andrew Keegan)', '馬丁辛(Martin Sheen)', '芮恩菲尼克斯(Rain Phoenix)']","['劇情', '懸疑/驚悚', '愛情']",輔12級/PG12
53,哈騷派,Repli-Kate,上映日期：2002-01-12,片　　長：未提供,發行公司：龍祥,沒有評分,['法蘭克朗哥(Frand Longo)'],"['尤金李維(Eugene Levy)', '艾莉蘭瑞(Ali Landry)', '寇特富勒(Kurt Fuller)']","['科幻', '喜劇']",輔12級/PG12
54,衝出封鎖線,Behind Enemy Lines,上映日期：2002-01-04,片　　長：01時45分,發行公司：福斯電影,沒有評分,['約翰摩爾(John Moore)'],"['歐文威爾森(Owen Wilson)', '金哈克曼(Gene Hackman)', '大衛凱斯(David Keith)', '喬昆迪艾曼達(Joaquim De Almeida)', '奧勒克魯帕(Olek Krupa)', '弗拉迪米爾馬西科夫(Vladimir Mashkov)']","['戰爭', '動作', '劇情', '懸疑/驚悚']",普遍級/G
55,香草天空,Vanilla Sky,上映日期：2001-12-29,片　　長：02時25分,發行公司：UIP,沒有評分,['卡麥隆克洛(Cameron Crowe)'],"['潘妮洛普克魯茲(Penelope Cruz)', '湯姆克魯斯(Tom Cruise)', '寇特羅素(Kurt Russell)', '卡麥蓉狄亞(Cameron Diaz)', '傑森李(Jason Lee)', '諾亞泰勒(Naoh Taylor)']","['科幻', '劇情', '懸疑/驚悚', '愛情']",輔12級/PG12
56,神隱少女,Spirited Away,上映日期：2001-12-28,片　　長：未提供,發行公司：博偉電影,沒有評分,['宮崎駿(Hayao Miyazaki)'],[''],"['冒險', '奇幻', '溫馨/家庭', '動畫']",普遍級/G
57,殘骸線索,Tell me something,上映日期：2002-01-04,片　　長：01時56分,發行公司：邁拓娛樂,沒有評分,['張允賢(Yoon-Hyun Chang)'],"['沈銀河(Eun-ha Shim)', '韓石奎(Suk-kyu Han)']","['劇情', '犯罪', '懸疑/驚悚']",限制級/R
58,三劍客,The Musketeer,上映日期：2001-12-29,片　　長：01時44分,發行公司：年代影視,沒有評分,['彼得海恩斯(Peter Hyams)'],"['米娜蘇瓦莉(Mena Suvari)', '提姆羅斯(Tim Roth)', '凱薩琳丹妮芙(Catherine Deneuve)', '賈斯汀騫柏(Justin Chambers)', '史蒂芬雷(Stephen Rea)']","['動作', '冒險', '劇情', '喜劇']",保護級/P
59,間諜遊戲,Spy Game,上映日期：2002-12-21,片　　長：02時07分,發行公司：邁拓娛樂,沒有評分,['東尼史考特(Tony Scott)'],"['布萊德彼特(Brad Pitt)', '凱薩琳麥寇(Catherine McCormack)', '勞勃瑞福(Robert Redford)']","['動作', '劇情', '懸疑/驚悚']",保護級/P
60,麻辣追殺令,Beautiful Creatures,上映日期：2001-12-22,片　　長：01時26分,發行公司：龍祥,沒有評分,['比爾伊格斯(Bill Eagles)'],"['瑞秋懷茲(Rachel Weisz)', '依安葛蘭(Iain Glen)', '亞歷諾頓(Alex Norton)', '蘇珊林區(Susan Lynch)']","['劇情', '犯罪', '懸疑/驚悚', '喜劇']",輔12級/PG12
61,高山上的世界盃,The Cup,上映日期：2001-12-07,片　　長：01時33分,發行公司：春暉影業,沒有評分,['宗薩仁波切(Khyentse Norbu)'],"['Godu Lama(Godu Lama)', 'Jamyang Lodro(Jamyang Lodro)', 'Neten Chokling(Neten Chokling)', 'Orgyen Tobgyal(Orgyen Tobgyal)', 'Pema Tshundup(Pema Tshundup)']",['劇情'],普遍級/G
62,藍宇,Lanyu,上映日期：2001-12-08,片　　長：01時27分,發行公司：群體工作室,沒有評分,['【長恨歌】關錦鵬'],"['胡軍(Hu Jun)', '李華彤', '劉燁', '蘇瑾']","['劇情', '愛情']",限制級/R
63,分道不揚鑣,Divided We Fall,上映日期：2001-11-08,片　　長：01時57分,發行公司：大來華展影業,沒有評分,['揚霍布雷克(Jan Hrebejk)'],"['安娜西斯可娃(Anna Siskova)', '波勒斯拉夫波利夫卡(Boleslav Polivka)', '雅洛斯拉夫杜謝克(Jaroslav Dusek)']","['劇情', '喜劇']",普遍級/G
64,美國情緣,Serendipity,上映日期：2001-12-15,片　　長：01時25分,發行公司：邁拓娛樂,沒有評分,['彼得契爾森(Peter Chelsom)'],"['約翰庫薩克(John Cusack)', '凱特貝琴薩(Kate Beckinsale)', '布莉姬莫娜漢(Bridget Moynahan)', '約翰寇爾貝特(John Corbett)', '布莉姬摩娜漢(Bridget Moynahan)', '傑瑞米派文(Jeremy Piven)', '莫莉薛儂(Molly Shannon)']","['喜劇', '愛情']",普遍級/G
65,慌心假期,Midnight Fly,上映日期：2002-01-12,片　　長：01時46分,發行公司：群體工作室,沒有評分,['張之亮'],"['任達華(Simon Yam)', '純名里沙', '梅艷芳', '譚俊彥']",['劇情'],保護級/P
67,E.T.外星人,E.T. The Extra-Terrestrial,上映日期：2002-04-05,片　　長：01時55分,發行公司：UIP,沒有評分,['史蒂芬史匹柏(Steven Spielberg)'],"['茱兒芭莉摩(Drew Barrymore)', '蒂華勒斯史東(Dee Wallace)', '亨利湯瑪斯(Henry Thomas)', '彼得凱歐提(Peter Coyote)', '勞伯麥諾頓(Robert MacNaughton)']","['冒險', '科幻', '奇幻', '劇情', '溫馨/家庭']",保護級/P
69,哈特戰爭,Hart's War,上映日期：2002-04-04,片　　長：02時05分,發行公司：福斯電影,沒有評分,['葛雷利哈伯利特(Gregory Hoblit)'],"['布魯斯威利(Bruce Willis)', '柯林法洛(Colin Farrell)', '柯爾豪斯(Cole Hauser)', '馬賽尤瑞斯(Marcel Iures)', '泰倫斯豪爾(Terrence Howard)']","['劇情', '戰爭']",保護級/P
70,愛情靈藥,Better Than Sex,上映日期：2002-04-13,片　　長：01時32分,發行公司：南方電影,沒有評分,"['李豐博', '蘇照彬']","['戴立忍(Leon DAI)', '陳昇', '光良', '黃嘉千', '劉虹嬅']",['喜劇'],限制級/R
72,迫在眉梢,John Q,上映日期：2002-04-26,片　　長：01時58分,發行公司：邁拓娛樂,沒有評分,['尼克凱薩維茲(Nick Cassavetes)'],"['丹佐華盛頓(Denzel Washington)', '安海契(Anne Heche)', '詹姆斯伍德(James Woods)', '雷李歐塔(Lay Liotta)', '勞勃杜瓦(Robert Duvall)']","['劇情', '犯罪', '懸疑/驚悚']",輔12級/PG12
73,好戲上場,Showtime,上映日期：2002-04-27,片　　長：01時35分,發行公司：華納,沒有評分,['湯姆戴(Tom Dey)'],"['勞勃狄尼洛(Robert De Niro)', '艾迪墨菲(Eddie Murphy)', '蕾妮羅素(Rene Russo)']","['動作', '喜劇']",未分類
74,逐夢鬱金香,Bread & Tulips,上映日期：2002-05-04,片　　長：01時54分,發行公司：華展影業,沒有評分,['西維歐索迪尼(Silvio Soldini)'],"['布魯諾甘茲(Bruno Ganz)', '莉西亞瑪格莉塔(Licia Maglietta)', '瑪琳娜瑪西羅妮(Marina Massironi)']","['劇情', '愛情']",未分類
75,消失的1945,The Last Days,上映日期：2001-06-02,片　　長：01時30分,發行公司：春暉影業,沒有評分,['詹姆斯摩爾(James Moll)'],"['愛麗絲卡哈那(Alice Lok Cahana)', '比爾巴師(Bill Basch)', '馬丁巴師(Martin Basch)']",['紀錄片'],保護級/P
76,驚天駭地,3000 Miles to Graceland,上映日期：2001-05-11,片　　長：02時05分,發行公司：年代影視,沒有評分,['狄米恩列肯斯坦(Demian Lichtenstein)'],"['寇特羅素(Kurt Russell)', '凱文科斯納(Kevin Costner)', '大衛阿奎特(David Arquette)', '克里斯汀史萊特(Christian Slater)', '寇特妮考克斯(Courteney Cox)', '凱文波拉克(Kevin Pollak)']","['動作', '劇情', '犯罪', '喜劇']",輔12級/PG12
77,人工智慧,A.I. Artificial Intelligence,上映日期：2001-08-17,片　　長：02時25分,發行公司：華納,沒有評分,['史蒂芬史匹柏(Steven Spielberg)'],"['海利喬奧斯蒙(Haley Joel Osment)', '裘德洛(Jude Law)']","['科幻', '劇情']",保護級/P
78,超感應頻率,Angel Eyes,上映日期：2001-06-08,片　　長：01時54分,發行公司：邁拓娛樂,沒有評分,['路易士曼都吉(Luis Mandoki)'],"['珍妮佛羅培茲(Jennifer Lopez)', '吉姆卡維佐(James Caviezel)', '艾方索阿魯(Alfonso Arau)', '吉姆卡維佐(Jim Caviezel)', '菲克特亞哥(Victor Argo)']","['劇情', '懸疑/驚悚', '愛情']",輔12級/PG12
79,獸性大發,The Animal,上映日期：2001-09-15,片　　長：01時23分,發行公司：博偉電影,沒有評分,['路克格林費德(Directed by Luke Greenfield)'],"['勞勃許奈德(Rob Schneider)', '柯琳海斯凱爾(Collen Haskell)']",['喜劇'],保護級/P
80,決戰猩球,Planet of the Apes,上映日期：2001-08-04,片　　長：02時00分,發行公司：福斯電影,沒有評分,['提姆波頓(Tim Burton)'],"['提姆羅斯(Tim Roth)', '馬克華柏格(Mark Wahlberg)', '艾絲黛拉華倫(Estella Warren)', '海倫娜波漢卡特(Helena Bonham Carter)', '麥可克拉克鄧肯(Michael Clarke Duncan)', '保羅吉馬蒂(Paul Giamatti)']","['動作', '科幻']",保護級/P
81,失落的帝國,Atlantis: The Lost Empire,上映日期：2001-07-21,片　　長：01時35分,發行公司：博偉電影,沒有評分,"['葛瑞特奧斯戴(Gary Trousdale)', '克拉克懷斯(Kirk Wise)']","['米高福克斯(Michael J Fox)', 'Claudia Christian(Claudia Christian)', '詹姆斯葛納(James Garner)', 'Jim Varney(Jim Varney)', 'John Mahoney(John Mahoney)']","['動作', '冒險', '科幻', '動畫']",普遍級/G
82,候鳥,Migratory Bird,上映日期：2001-07-14,片　　長：未提供,發行公司：中影,沒有評分,['丁亞民'],"['歸亞蕾(Grace Guei)', '黃品源', '劉若英']",['劇情'],輔12級/PG12
83,霹靂高手,"O Brother, Where Art Thou?",上映日期：2001-05-26,片　　長：01時42分,發行公司：春暉影業,沒有評分,['喬柯恩(Joel Coen)'],"['喬治克隆尼(George Clooney)', '約翰特托羅(John Turturro)', '荷莉杭特(Holly Hunter)', '提姆布萊克尼爾森(Tim Blake Nelson)']",['劇情'],未分類
84,四海兄弟,Brother,上映日期：2001-09-01,片　　長：01時57分,發行公司：春暉影業,沒有評分,['北野武(Takeshi Kitano)'],"['北野武(Takeshi Kitano)', '加藤雅也(Masaya Kato)', '歐瑪艾普(Omar Epps)', '北野武(Takeshi Kitano)', '真木藏人']","['劇情', '犯罪']",限制級/R
85,戰地情人,Captain Corelli's Mandolin,上映日期：2001-09-28,片　　長：02時25分,發行公司：龍祥,沒有評分,['約翰梅登(John Maden)'],"['潘妮洛普克魯茲(Penelope Cruz)', '尼可拉斯凱吉(Nicolas Cage)', '克里斯汀貝爾(Christian Bale)', '約翰赫特(John Hurt)']","['劇情', '愛情', '戰爭']",輔12級/PG12
86,貓狗大戰,Cats and Dogs,上映日期：2002-07-07,片　　長：01時33分,發行公司：華納,沒有評分,['賴瑞加特曼(Larry Guterman)'],"['托比馬奎爾(Tobey Maguire)', '麥可克拉克鄧肯(Michael Clarke Duncan)', '亞歷鮑德溫(Alec Baldwin)', '伊麗莎白波金(Elizabeth Perkins)', '傑夫高布倫(Jeff Goldblum)', '席恩海斯(Sean Hayes)', '蘇珊莎蘭登(Susan Sarandon)', '托比麥奎爾(Tobey Maguire)']","['動作', '冒險', '喜劇', '溫馨/家庭']",普遍級/G
87,怪醫杜立德2,Dr. Dolittle 2,上映日期：2001-07-07,片　　長：01時21分,發行公司：福斯電影,沒有評分,['史蒂夫凱爾(Steve Carr)'],"['艾迪墨菲(Eddie Murphy)', '麗莎庫卓(Lisa Kudrow)', '傑佛瑞瓊斯(Jeffrey Jones)', '凱文波拉克(Kevin Pollak)', '克麗斯塔威爾森(Kristen Wilson)']","['溫馨/家庭', '喜劇']",普遍級/G
